chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,scraped_at
sm,smdc-fame-mall,SMDC Fame Mall,metro-manila,"Edsa and Mayflower Street, Barangay HIghway Hills 1550, City of Mandaluyong",FAM1,https://www.smsupermalls.com/mall-directory/smdc-fame-mall/information/,residential-retail,2026-07-26
sm,smdc-grace-mall,SMDC Grace Mall,metro-manila,"Cayetano Boulevard, Barangay Ususan, Taguig City",GRC1,https://www.smsupermalls.com/mall-directory/smdc-grace-mall/information/,residential-retail,2026-07-26
sm,smdc-green-mall,SMDC Green Mall,metro-manila,"Taft Ave., Malate, City of Manila",GRN1,https://www.smsupermalls.com/mall-directory/smdc-green-mall/information/,residential-retail,2026-07-26
sm,smdc-jazz-mall,SMDC Jazz Mall,metro-manila,"Jupiter Corner N. Garcia Sts., Bel-Air Makati City",JAZ1,https://www.smsupermalls.com/mall-directory/smdc-jazz-mall/information/,residential-retail,2026-07-26
sm,smdc-light-mall,SMDC Light Mall,metro-manila,"Edsa Cor. Madison St. Brgy. Barangka Ilaya, Mandaluyong City",LGT1,https://www.smsupermalls.com/mall-directory/smdc-light-mall/information/,residential-retail,2026-07-26
sm,smdc-mplace-mall,SMDC Mplace Mall,metro-manila,"Mother Ignacia and Panay Ave. Barangay South Triangle, Quezon City",MPL1,https://www.smsupermalls.com/mall-directory/smdc-mplace-mall/information/,residential-retail,2026-07-26
sm,smdc-strip-at-berkeley,SMDC Strip at Berkeley,metro-manila,"Katipunan Avenue corner Escalar Street, Loyola Heights, Quezon City",BRK1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-berkeley/information/,residential-retail,2026-07-26
sm,smdc-strip-at-blue,SMDC Strip at Blue,metro-manila,"Katipunan Road corner Aurora Blvd., Loyola Heights, Quezon City",BLU1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-blue/information/,residential-retail,2026-07-26
sm,smdc-strip-at-grass,SMDC Strip at Grass,metro-manila,"Misamis St. cor. Nueva Vizcaya cor. & Nueva Ecija St., Brgy. Sto. Cristo, Quezon City",GRA1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-grass/information/,residential-retail,2026-07-26
sm,smdc-strip-at-mezza,SMDC Strip at Mezza,metro-manila,"Aurora Blvd., Cor. Araneta Ave., Guirayan St., Brgy. Do??a Imelda, Quezon City",MEZA,https://www.smsupermalls.com/mall-directory/smdc-strip-at-mezza/information/,residential-retail,2026-07-26
sm,smdc-strip-at-princeton,SMDC Strip at Princeton,metro-manila,"Aurora Blvd. near Gilmore Street, Barangay Valencia, Quezon City",PRN1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-princeton/information/,residential-retail,2026-07-26
