brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
alberto,1,10,1,1,0,1,17,36,0,0,67,7,False,True,ALBERTO
siomai house,0,12,1,0,2,1,23,22,2,4,67,8,False,True,SIOMAI HOUSE
auntie annes,0,11,1,2,4,2,7,37,0,1,65,8,False,True,AUNTIE ANNES
uniqlo,1,6,0,1,3,2,8,44,0,0,65,7,False,True,UNIQLO
shawarma shack,0,7,1,1,3,0,20,31,2,0,65,7,False,True,SHAWARMA SHACK
sm cinema,0,0,0,0,0,0,0,64,0,0,64,1,False,False,SM CINEMA
plains & prints,2,8,1,1,4,1,10,36,0,0,63,8,False,True,PLAINS & PRINTS
mr quickie,0,5,1,2,5,1,8,30,2,9,63,9,False,True,MR QUICKIE
surplus shop,0,0,0,0,0,0,0,63,0,0,63,1,False,False,SURPLUS SHOP
lighters galore,3,13,1,2,4,1,21,18,0,0,63,8,False,True,LIGHTERS GALORE
abenson,1,14,1,1,2,0,3,2,0,38,62,8,False,True,Abenson
guess,1,12,1,0,2,1,13,32,0,0,62,7,False,True,GUESS
crocs,1,8,1,0,2,2,4,44,0,0,62,7,False,True,CROCS
relx,1,10,2,1,5,1,1,41,0,0,62,8,False,True,RELX
bpi,0,26,1,2,4,2,20,3,0,3,61,8,False,True,BANK OF THE PHILIPPINE ISLANDS
mister donut,0,7,1,0,1,1,19,31,0,1,61,7,False,True,MISTER DONUT
sm supermarket,0,0,0,0,0,0,0,61,0,0,61,1,False,False,SM SUPERMARKET
japan home centre,1,16,1,0,3,1,3,3,2,31,61,9,False,True,Japan Home Centre
sprinto,0,5,0,0,3,0,16,35,0,0,59,4,False,True,SPRINTO
quantum,0,0,0,0,1,1,4,53,0,0,59,4,False,True,QUANTUM
nails glow,0,5,0,0,3,0,10,19,1,21,59,6,False,True,Nails.Glow
smart,0,0,0,0,2,0,5,50,0,2,59,4,False,True,SMART
robinsons supermarket,1,4,1,0,5,0,47,0,0,0,58,5,False,True,Robinsons Supermarket
zen zest,2,11,0,0,1,0,6,38,0,0,58,5,False,True,ZEN ZEST
honor,0,0,1,0,0,0,15,38,0,4,58,4,False,True,HONOR
havaianas,0,7,0,1,1,1,12,33,0,2,57,7,False,True,HAVAIANAS
globe,0,0,0,1,0,0,8,44,0,4,57,4,False,True,GLOBE
mr kimbob,0,2,0,0,2,0,7,46,0,0,57,4,False,True,MR KIMBOB
starbucks,0,19,0,1,18,2,17,0,0,0,57,5,False,True,Starbucks
pizza hut,0,7,0,1,3,0,6,39,1,0,57,6,False,True,PIZZA HUT
digital walker,0,19,1,0,3,2,9,22,0,0,56,6,False,True,DIGITAL WALKER
macao imperial tea,0,2,0,0,2,0,13,39,0,0,56,4,False,True,MACAO IMPERIAL TEA
kuya j restaurant,0,4,1,0,0,0,3,48,0,0,56,4,False,True,KUYA J RESTAURANT
daiso japan,1,15,1,0,0,0,39,0,0,0,56,4,False,True,Daiso Japan
buko juan,0,5,1,0,4,0,9,22,0,15,56,6,False,True,BUKO JUAN
pc express,0,6,1,2,1,0,7,38,0,0,55,6,False,True,PC EXPRESS
waffle time,0,6,2,1,2,0,27,16,1,0,55,7,False,True,WAFFLE TIME
audionet,0,10,0,0,0,0,11,32,0,2,55,4,False,True,AUDIONET
mx memoxpress,0,0,0,0,0,0,0,52,0,2,54,2,False,True,MX MEMOXPRESS
mi,0,0,0,0,0,0,1,53,0,0,54,2,False,True,MI
bayo,1,7,1,0,1,0,14,30,0,0,54,6,False,True,BAYO
owndays,1,15,1,0,5,2,4,26,0,0,54,7,False,True,OWNDAYS
turks,0,17,3,1,5,1,25,1,0,1,54,8,False,True,TURKS
keycards,0,6,0,0,0,0,4,43,0,0,53,3,False,True,KEYCARDS
handyman,2,0,1,0,0,0,28,1,0,21,53,5,False,True,Handyman
dermcare,0,0,0,0,1,0,4,43,2,2,52,5,False,True,DERMCARE
ojo eyewear,2,4,1,0,3,0,9,33,0,0,52,6,False,True,OJO EYEWEAR
rulls cellphone and accessories,0,0,0,0,0,0,0,52,0,0,52,1,False,False,RULLS CELLPHONE AND ACCESSORIES
kenny rogers,0,0,0,0,3,1,3,45,0,0,52,4,False,True,KENNY ROGERS
bibingkinitan,0,0,0,1,1,0,5,44,1,0,52,5,False,True,BIBINGKINITAN
taters,0,10,1,1,0,1,9,29,0,0,51,6,False,True,TATERS
mr diy,1,12,1,0,5,3,1,7,0,21,51,8,False,True,MR. DIY
prescripto,2,5,1,0,1,0,9,32,1,0,51,7,False,True,PRESCRIPTO
western union,0,0,0,2,0,0,35,0,0,14,51,3,False,True,Western Union
sm cinema snackbar,0,0,0,0,0,0,0,51,0,0,51,1,False,False,SM CINEMA SNACKBAR
